Stock Name,Stock Id,Imputation Method,Percentage MSE
LHX,279,2.0,4.401e-05
LH,280,2.0,4.858e-05
LRCX,281,2.0,9.43e-05
LW,282,2.0,8.613e-05
LVS,283,2.0,0.00014738
LDOS,284,4.0,0.00015875
LEN,285,2.0,0.00012156
LNC,286,2.0,0.00019794
LIN,287,2.0,5.695e-05
LYV,288,2.0,0.00013009
LKQ,289,2.0,0.00022397
LMT,290,2.0,3.214e-05
L,291,2.0,6.739e-05
LOW,292,2.0,5.978e-05
LUMN,293,2.0,0.00017929
LYB,294,2.0,0.00011649
MTB,295,2.0,6.571e-05
MRO,296,2.0,0.00032924
MPC,297,2.0,0.00022715
MKTX,298,2.0,6.67e-05
MAR,299,2.0,7.566e-05
MMC,300,2.0,2.943e-05
MLM,301,2.0,7.079e-05
MAS,302,2.0,9.71e-05
MA,303,1.0,0.00232787
MTCH,304,2.0,0.00019449
MKC,305,2.0,9.628e-05
MCD,306,2.0,2.742e-05
MCK,307,2.0,5.67e-05
MDT,308,2.0,4.02e-05
MRK,309,2.0,4.327e-05
META,310,2.0,0.00011311
MET,311,2.0,0.00011124
MTD,312,2.0,4.437e-05
MGM,313,2.0,0.00021312
MCHP,314,2.0,0.00013082
MU,315,2.0,0.00019124
MSFT,316,2.0,5.297e-05
MAA,317,2.0,4.493e-05
MRNA,318,2.0,0.0004255
MHK,319,2.0,0.00011634
MOH,320,2.0,0.0001233
TAP,321,2.0,7.981e-05
MDLZ,322,2.0,8.171e-05
MPWR,323,2.0,0.00010548
MNST,324,2.0,0.00033704
MCO,325,2.0,5.805e-05
MS,326,2.0,9.994e-05
MOS,327,2.0,0.0001714
MSI,328,2.0,4.484e-05
MSCI,329,2.0,7.199e-05
NDAQ,330,2.0,0.0002255
NTAP,331,2.0,0.00010141
NFLX,332,2.0,0.00131981
NWL,333,2.0,0.00015403
NEM,334,2.0,0.00013563
NWSA,335,2.0,0.0001429
NWS,336,2.0,0.00014125
NEE,337,2.0,0.00019148
NKE,338,2.0,0.00016896
NI,339,1.0,0.00021436
NDSN,340,2.0,5.988e-05
NSC,341,2.0,5.428e-05
NTRS,342,2.0,6.431e-05
NOC,343,2.0,3.513e-05
NCLH,344,2.0,0.00033335
NRG,345,2.0,0.00015683
NUE,346,2.0,9.928e-05
NVDA,347,2.0,0.00050472
NVR,348,2.0,5.92e-05
NXPI,349,2.0,0.00012601
ORLY,350,2.0,4.479e-05
OXY,351,2.0,0.00023274
ODFL,352,2.0,7.131e-05
OMC,353,2.0,7.382e-05
ON,354,2.0,0.00024196
OKE,355,2.0,0.00021287
ORCL,356,2.0,6.536e-05
OGN,357,2.0,0.00010554
OTIS,358,2.0,6.286e-05
PCAR,359,2.0,6.434e-05
PKG,360,2.0,6.24e-05
PARA,361,2.0,0.00014603
PH,362,2.0,6.613e-05
PAYX,363,2.0,4.186e-05
PAYC,364,2.0,0.00016037
PYPL,365,2.0,0.00011943
PNR,366,2.0,0.00010754
PEP,367,2.0,3.066e-05
PKI,368,2.0,5.943e-05
PFE,369,2.0,5.718e-05
PCG,370,2.0,0.00037887
PM,371,2.0,5.559e-05
PSX,372,2.0,0.00011197
PNW,373,2.0,4.987e-05
PXD,374,2.0,0.00014198
PNC,375,2.0,6.15e-05
POOL,376,2.0,5.546e-05
PPG,377,2.0,9.342e-05
PPL,378,2.0,7.668e-05
PFG,379,2.0,9.496e-05
PG,380,2.0,2.929e-05
PGR,381,2.0,4.339e-05
PLD,382,2.0,5.107e-05
PRU,383,2.0,8.94e-05
PEG,384,2.0,4.937e-05
PTC,385,2.0,9.629e-05
PSA,386,2.0,3.573e-05
PHM,387,2.0,0.00015266
QRVO,388,2.0,0.00015336
PWR,389,2.0,0.00012368
QCOM,390,2.0,9.916e-05
DGX,391,2.0,4.61e-05
RL,392,2.0,0.00010719
RJF,393,2.0,8.905e-05
RTX,394,2.0,7.691e-05
O,395,2.0,6.478e-05
REG,396,2.0,7.761e-05
REGN,397,2.0,8.304e-05
RF,398,2.0,0.00019768
RSG,399,2.0,2.854e-05
