Stock Name,Stock Id,Imputation Method,Days Before,Train Percentage MSE,Test Percentage MSE
ECL,165,2.0,15.0,2.491e-05,0.0010506
EIX,166,2.0,15.0,3.35e-05,0.00022234
EW,167,2.0,8.0,5.922e-05,0.00071024
EA,168,2.0,15.0,6.161e-05,0.00029244
ELV,169,2.0,7.0,4.104e-05,0.06840016
LLY,170,2.0,12.0,2.891e-05,0.11638921
EMR,171,2.0,15.0,3.117e-05,0.02478786
ENPH,172,2.0,15.0,0.00042699,0.17989606
ETR,173,2.0,8.0,2.421e-05,0.00023662
EOG,174,2.0,14.0,0.00010174,0.00104884
EPAM,175,2.0,14.0,6.969e-05,0.07718327
EQT,176,2.0,15.0,0.00014632,0.0093357
EFX,177,2.0,7.0,3.526e-05,0.05056239
EQIX,178,2.0,10.0,3.657e-05,0.00142805
EQR,179,2.0,9.0,2.373e-05,0.00036634
ESS,180,2.0,12.0,2.457e-05,0.00071519
EL,181,2.0,15.0,3.223e-05,0.05859567
ETSY,182,2.0,14.0,0.00019656,0.00424638
RE,183,2.0,9.0,2.472e-05,0.00072093
EVRG,184,2.0,9.0,3.267e-05,0.00024636
ES,185,2.0,15.0,2.393e-05,0.00020202
EXC,186,2.0,15.0,2.617e-05,0.00136461
EXPE,187,2.0,13.0,9.606e-05,0.00688906
EXPD,188,2.0,15.0,2.705e-05,0.02941746
EXR,189,2.0,12.0,2.676e-05,0.08184693
XOM,190,2.0,9.0,2.722e-05,0.00209477
FFIV,191,2.0,15.0,5.57e-05,0.00309605
FDS,192,2.0,8.0,3.22e-05,0.01386844
FAST,193,1.0,2.0,0.00010897,0.00033769
FRT,194,2.0,14.0,2.801e-05,0.00034435
FDX,195,2.0,9.0,4.205e-05,0.0018503
FITB,196,2.0,8.0,4.833e-05,0.02165594
FRC,197,2.0,7.0,3.411e-05,0.09364188
FE,198,2.0,8.0,3.873e-05,0.00024214
FIS,199,2.0,15.0,2.696e-05,0.00067161
FISV,200,2.0,3.0,0.00012963,0.00111762
FLT,201,2.0,15.0,4.965e-05,0.00040546
FMC,202,2.0,3.0,0.00011179,0.00444403
F,203,2.0,7.0,4.344e-05,0.00351417
FTNT,204,1.0,15.0,7.452e-05,0.14534676
FTV,205,2.0,10.0,3.613e-05,0.00031342
FBHS,206,2.0,8.0,4.823e-05,0.01033361
FOXA,207,2.0,10.0,7.451e-05,0.00052213
FOX,208,2.0,9.0,6.974e-05,0.00033463
BEN,209,1.0,13.0,0.00018948,0.00065685
FCX,210,2.0,14.0,0.00014812,0.00172637
GRMN,211,2.0,12.0,4.215e-05,0.04120961
IT,212,2.0,8.0,3.592e-05,0.15807786
GEN,213,2.0,13.0,6.282e-05,0.00046195
GNRC,214,2.0,15.0,6.618e-05,0.14551846
GD,215,2.0,8.0,2.569e-05,0.0008588
GE,216,4.0,12.0,5.775e-05,0.23475797
GIS,217,2.0,15.0,1.962e-05,0.00117534
GM,218,2.0,15.0,5.081e-05,0.01835933
GPC,219,2.0,13.0,2.751e-05,0.02893854
GILD,220,4.0,12.0,5.244e-05,0.00021442
GL,221,2.0,12.0,4.037e-05,0.00029687
GPN,222,2.0,8.0,9.545e-05,0.00084847
GS,223,2.0,15.0,4e-05,0.05699277
HAL,224,2.0,14.0,8.262e-05,0.00104294
HIG,225,2.0,14.0,4.007e-05,0.0073728
HAS,226,2.0,14.0,3.856e-05,0.00029302
HCA,227,2.0,12.0,5.258e-05,0.09097167
PEAK,228,2.0,15.0,3.958e-05,0.00026089
